Ses Order 0,Front Matter
fp0069,Controlling Fairness and Bias in Dynamic Ranking
fp0081,Can The Crowd Identify Misinformation Objectively? The Effects of Judgments Scale and Assessor's Bias
fp0143,Measuring and Mitigating Item Under-Recommendation Bias in Personalized Ranking Systems
Ses Order 9,Session 3B: Learning to Rank
fp0018,What Makes a Top-Performing Precision Medicine Search Engine? Tracing Main System Features in a Systematic Way
fp0039,Accelerated Convergence for Counterfactual Learning to Rank
fp0053,DVGAN: A Minimax Game for Search Result Diversification Combining Explicit and Implicit Features
fp0071,Policy-Aware Unbiased Learning to Rank for Top-k Rankings
fp0073,SetRank: Learning a Permutation-Invariant Ranking Model for Information Retrieval
fp0115,Reinforcement Learning to Rank with Pairwise Policy Gradient
Ses Order 10,Session 3C: Question Answering
fp0046,Humor Detection in Product Question Answering Systems
fp0063,Training Curricula for Open Domain Answer Re-Ranking
fp0079,Open-Retrieval Conversational Question Answering
fp0087,Learning to Ask Screening Questions for Job Postings
fp0110,Match$^2$: A Matching over Matching Model for Similar Question Identification
fp0132,Answer Ranking for Product-Related Questions via Multiple Semantic Relations Modeling
Ses Order 11,Session 4A: Query and Representation
fp0013,ESAM: Discriminative Domain Adaptation with Non-Displayed Items to Improve Long-Tail Performance
fp0014,Table Search Using a Deep Contextualized Language Model
fp0015,Convolutional Embedding for Edit Distance
fp0048,ASiNE: Adversarial Signed Network Embedding
fp0124,Efficient Graph Query Processing over Geo-Distributed Datacenters
fp0125,Spatio-Temporal Dual Graph Attention Network for Query-POI Matching
Ses Order 12,Session 4B: Graph-based Recommendation
fp0033,Lightening Graph Convolution Network for Recommendation
fp0034,GAME: Learning Graphical and Attentive Multi-view Embeddings for Occasional Group Recommendation
fp0041,Multi-behavior Recommendation with Graph Convolution Networks
fp0078,GAG: Global Attributed Graph Neural Network for Streaming Session-based Recommendation
fp0111,Joint Item Recommendation and Attribute Inference: An Adaptive Graph Convolutional Network Approach
fp0131,GCN-Based User Representation Learning for Unifying Robust Recommendation and Fraudster Identification
Ses Order 13,Session 4C: Neural Networks and Embedding
fp0020,Using Phoneme Representations to Build Predictive Models Robust to ASR Errors
fp0058,Knowledge Enhanced Personalized Search
fp0061,Learning Dynamic Node Representations with Graph Neural Networks
fp0072,An Eye Tracking Study of Web Search by People with and without Dyslexia
fp0138,DGL-KE: Training knowledge graph embeddings at scale
fp0147,Neural Interactive Collaborative Filtering
Ses Order 14,Session 5A: Domain Specific Applications 1
fp0017,Fashion Compatibility Modeling through a Multi-modal Try-on-guided Scheme
fp0059,Spatial Object Recommendation with Hints: When Spatial Granularity Matters
fp0097,Product Bundle Identification using Semi-Supervised Learning
fp0104,Coding Electronic Health Records with Adversarial Reinforcement Path Generation
fp0127,Degree-Aware Alignment for Entities in Tail
fp0142,Regional Relation Modeling for Visual Place Recognition
Ses Order 15,Session 5B: Learning for Recommendation
fp0052,A General Knowledge Distillation Framework for Counterfactual Recommendation via Uniform Data
fp0065,Agreement and Disagreement between True and False-Positive Metrics in Recommender Systems Evaluation
fp0074,Leveraging Social Media for Medical Text Simplification
fp0122,Sampler Design for Implicit Feedback Data by Noisy-label Robust Learning
fp0136,MaHRL: Multi-goals Abstraction based Deep Hierarchical Reinforcement Learning for Recommendations
fp0146,Towards Question-based Recommender Systems
Ses Order 16,Session 5C: Information Access and Filtering
fp0012,Try This Instead: Personalized and Interpretable Substitute Recommendation
fp0037,Towards Linking Camouflaged Descriptions to Implicit Products in E-commerce
fp0082,Distributed Equivalent Substitution Training for Large-Scale Recommender Systems
fp0099,Query Resolution for Conversational Search with Limited Supervision
fp0114,Self-Supervised Reinforcement Learning for Recommender Systems
fp0117,Generative Attribute Manipulation Scheme for Flexible Fashion Search
Ses Order 17,Session 6A: Neural Collaborative Filtering 1
fp0016,How Dataset Characteristics Affect the Robustness of Collaborative Recommendation Models
fp0023,DPLCF: Differentially Private Local Collaborative Filtering
fp0030,Content-aware Neural Hashing for Cold-start Recommendation
fp0050,Meta Matrix Factorization for Federated Rating Predictions
fp0086,The Impact of More Transparent Interfaces on Behavior in Personalized Recommendation
fp0106,Disentangled Representations for Graph-based Collaborative Filtering
Ses Order 18,Session 6B: Domain Specific Applications 2
fp0007,Domain-Adaptive Neural Automated Essay Scoring
fp0043,ADORE: Aspect Dependent Online REview Labeling for Review Generation
fp0045,Finding the Best of Two Worlds: Faster and More Robust Top-k Document Retrieval
fp0070,Recommending Podcasts for Cold-Start Users Based on Music Listening and Taste
fp0090,Learning with Weak Supervision for Email Intent Detection
fp0091,3D Self-Attention for Unsupervised Video Quantization
Ses Order 19,Session 6C: Context-aware Modeling
fp0036,Modeling Personalized Item Frequency Information for Next-basket Recommendation
fp0047,Transfer Learning via Contextual Invariants for One-to-Many Cross-Domain Recommendation
fp0067,Incorporating User Micro-behaviors and Item Knowledge into Multi-task Learning for Session-based Recommendation
fp0102,Next-item Recommendation with Sequential Hypergraphs
fp0141,Encoding History with Context-aware Representation Learning for Personalized Search
fp0144,Recommendation for New Users and New Items via Randomized Training and Mixture-of-Experts Transformation
Ses Order 20,Session 7A: Conversation and Interactive IR
fp0031,Neural Representation Learning for Clarification in Conversational Search
fp0054,Investigating Reference Dependence Effects on User Search Interaction and Satisfaction
fp0066,DukeNet: A Dual Knowledge Interaction Network for Knowledge-Grounded Conversation
fp0077,What If Bots Feel Moods? Towards Controllable Retrieval-based Dialogue Systems with Emotion-Aware Transition Networks
fp0096,Expressions of Style in Information Seeking Conversation with an Agent
fp0126,Analyzing and Learning from User Interactions for Search Clarification
Ses Order 21,Session 7B: Text Classification and Transfer Learning
fp0009,A Unified Dual-view Model for Review Summarization and Sentiment Classification with Inconsistency Loss
fp0076,Enhancing Text Classification via Discovering Additional Semantic Clues from Logograms
fp0112,Learning to Transfer Graph Embeddings for Inductive Graph based Recommendation
fp0130,Web-to-Voice Transfer for Product Recommendation on Voice
fp0134,Minimally Supervised Categorization of Text with Metadata
fp0145,Joint Aspect-Sentiment Analysis with Minimal User Guidance
Ses Order 22,Session 7C: Neural Collaborative Filtering 2
fp0008,AR-CF: Augmenting Virtual Users and Items in Collaborative Filtering for Addressing Cold-Start Problems
fp0011,Studying Product Competition Using Representation Learning
fp0060,Deep Critiquing for VAE-based Recommender Systems
fp0085,GroupIM: A Mutual Information Maximizing Framework for Neural Group Recommendation
fp0092,Neighbor Interaction Aware Graph Convolution Networks for Recommendation
fp0094,A General Network Compression Framework for Sequential Recommender Systems
Ses Order 23,Session 8A: Domain Specific Retrieval Tasks
fp0001,Learning Efficient Representations of Mouse Movements toPredict User Attention in Sponsored Search
fp0035,Query Reformulation in E-Commerce Search
fp0098,Generating Images Instead of Retrieving them: Relevance feedback on Generative Adversarial Networks
fp0118,Tree-augmented Cross-Modal Encoding for Complex-Query Video Retrieval
fp0119,Nonlinear Robust Discrete Hashing for Cross-Modal Retrieval
fp0120,Employing Personal Word Embeddings for Personalized Search
Ses Order 24,Session 8B: Multi-modal Retrieval and Ranking
fp0022,Query Rewriting for Voice Shopping Null Queries
fp0055,Joint-modal Distribution-based  Similarity Hashing for Large-scale Unsupervised Deep Cross-modal Retrieval
fp0064,Learning Colour Representations of Search Queries
fp0089,Web Table Retrieval using Multimodal Deep Learning
fp0101,Online Collective Matrix Factorization Hashing for Large-Scale Cross-Media Retrieval
fp0116,Correlated Features Synthesis and Alignment for Zero-shot Cross-modal Retrieval
Ses Order 25,Session 8C: Sequential Recommendation
fp0019,HME: A Hyperbolic Metric Embedding Approach for Next-POI Recommendation
fp0093,Dual Sequential Network for Temporal Sets Prediction
fp0105,Group-Aware Long- and Short-Term Graph Representation Learning for Sequential Group Recommendation
fp0121,Time Matters: Sequential Recommendation with Complex Temporal Information
fp0123,Parameter-Efficient Transfer from Sequential Behaviors for User Modeling and Recommendation
fp0133,How to Retrain a Recommender System?
Ses Order 26,Short Research Papers I
sp0001,Dynamic Clustering with Discrete Time Event Prediction
sp0002,Leveraging Transitions of Emotions for Sarcasm Detection
sp0003,JointMap: Joint Query Intent Understanding For Modeling Intent Hierarchies in E-commerce Search
sp0007,Choppy: Cut Transformers For Ranked List Truncation
sp0008,Studying Ransomware Attacks Using Web Search Logs
sp0011,A Transformer-based Embedding Model for Personalized Product Search
sp0019,Balancing Reinforcement Learning Training Experiences in Interactive Information Retrieval
sp0020,Metadata Matters in User Engagement Prediction
sp0023,Context-Aware Term Weighting For First-Stage Passage Retrieval
sp0024,Summarizing and Exploring Tabular Data in Conversational Search
sp0028,Leveraging Adversarial Training in Self-Learning for Cross-Lingual Text Classification
sp0053,Response Quality in Human-Chatbot Collaborative Systems
sp0054,High-Precision Extraction of Emerging Concepts from Scientific Literature
sp0057,Video Recommendation with Multi-gate Mixture of Experts Soft Actor Critic
sp0060,Auto-annotation for Voice-enabled Entertainment Systems
sp0061,Domain Adaptation with Reconstruction for Disaster Tweet Classification
sp0063,Recipe Retrieval with Visual Query of Ingredients
sp0072,Alleviating the Inconsistency Problem of Applying Graph Neural Network to Fraud Detection
sp0081,Expansion via Prediction of Importance with Contextualization
sp0085,Reranking for Efficient Transformer-based Answer Selection
sp0089,Combining contextualized and non-contextualized query translations to improve CLIR
sp0091,Proactive Suggestion Generation:Data and Methods for Stepwise Task Assistance
sp0095,Contextual Re-Ranking with Behavior Aware Transformers
sp0096,Towards Explainable Retrieval Models for Precision Medicine Literature Search
sp0098,Search Result Explanations Improve Efficiency and Trust
sp0102,Query by Example for Cross-Lingual Event Retrieval
sp0103,A Test Collection for Relevance and Sensitivity
sp0106,A Study of Methods for the Generation of Domain-Aware Word Embeddings
sp0117,Predicting Entity Popularity to Improve Spoken Entity Recognition by Virtual Assistants
sp0120,Data Poisoning Attacks against Differentially Private Recommender Systems
sp0122,Immersive Search: Using Virtual Reality to Examine How a Third Dimension Impacts the Searching Process
sp0130,Having Your Cake and Eating it Too: Training Neural Retrieval for Language Inference without Losing Lexical Match
sp0131,Neural Concept Map Generation for Effective Document Classification with Interpretable Structured Summarization
sp0134,A Case Study of Multi-class Classification with Diversified Precision Recall Requirements for Query Disambiguation
sp0141,A Study of Neural Matching Models for Cross-lingual IR
sp0148,Social Media User Geolocation via Hybrid Attention
sp0150,Personalized Query Suggestions
sp0152,Feature Transformation for Neural Ranking Models
sp0009,MetaGen: An academic meta-review generation system
sp0010,Hier-SPCNet: A Legal Statute Hierarchy-based Heterogeneous Network for Computing Legal Document Similarity
sp0012,DCDIR: A Deep Cross-Domain Recommendation System for Cold Start Users in Insurance Domain
sp0014,A Pairwise Probe for Understanding BERT Fine-Tuning on Machine Reading Comprehension
sp0015,Adversarial Attack and Detection on Reinforcement Learning based Recommendation System
sp0017,Bundle Recommendation with Graph Convolutional Networks
sp0018,Re-ranking Answer Selection with Similarity Aggregation
sp0021,JIT$^2$R:A Joint Framework for Item Tagging and Tag-based Recommendation
sp0022,Attending to Inter-sentential Features in Neural Text Classification
sp0026,Retrieving Potential Causes from a Query Event
sp0027,Bridging Hierarchical and Sequential Context Modeling for Question-driven Extractive Answer Summarization
sp0033,MGNN: A Multimodal Graph Neural Network for Predicting the Survival of Cancer Patients
sp0035,On A Unified Neural Mechanism to Search Over A Corpus of Graphs
sp0036,Session-based Recommendation with Hierarchical Leaping Networks
sp0037,Multi-Branch Convolutional Network for Context-Aware Recommendation
sp0038,Predicting Session Length for Product Search on E-commerce Platform
sp0041,Dynamic Link Prediction by Integrating Node Vector Evolution and Local Neighborhood Representation
sp0044,Nonintrusive-Sensing and Reinforcement-Learning Based Adaptive Personalized Music Recommendation
sp0045,Residual-Duet Network with Tree Dependency Representation for Chinese Question-Answering Sentiment Analysis
sp0046,Neural Mathematical Solver with Enhanced Formula Structure
sp0047,Detecting Concept Drift in Medical Triage
sp0048,Evidence Weighted Tree Ensembles for Text Classification
sp0050,Graph Regularization for Multi-lingual Topic Models
sp0051,Multi-Modal Summary Generation using Multi-objective Optimization
sp0052,A Re-visit of Popularity Baseline in Recommender Systems
sp0055,Training Mixed-Objective Pointing Decoders for Block-Level Optimization in Search Recommendation
sp0056,Reinforcement Learning based Recommendation with Graph Convolutional Q-network
sp0058,Crowdsourced Text Sequence Aggregation based on Hybrid Reliability and Representation
sp0059,MRIF: Multi-resolution Interest Fusion for Recommendation
sp0062,Joint Training Capsule Network for Cold Start Recommendation
sp0064,Copula Guided Neural Topic Modelling for Short Texts
sp0065,Soft Kernel-based Ranking on a Statistical Manifold
sp0066,Multi-Level Multimodal Transformer Network for Multimodal Recipe Comprehension
sp0067,Chinese document classification with bi-directional convolutional language model
sp0068,Neural Unified Review  Recommendation with Cross Attention
sp0069,Goal-oriented Chatbots with Hierarchical Reinforcement Learning
sp0070,CapableOf reasoning: A step towards commonsense oracle
sp0073,Interactive Entity Linking Using Entity-Word Representations
sp0074,Improving Contextual Language Models for Response Retrieval in Multi-Turn Conversation
Ses Order 27,Short Research Papers II
sp0078,Differentially Private Knowledge Distillation for Mobile Analytics
sp0079,Deep Learning on Differentially Private Representations
sp0080,Large-scale Image Retrieval with Sparse Binary Projections
sp0082,Efficiency Implications of Term Re-Weighting for Passage Retrieval
sp0088,Read what you need: Controllable Aspect-based Opinion Summarization of Tourist Reviews
sp0090,DC-BERT: Decoupling Question and Document for Efficient Contextual Encoding
sp0092,An Intent-guided Collaborative Machine for Session-based Recommendation
sp0093,Rethinking Item Importance in Session-based Recommendation
sp0094,MHM: Multi-modal Clinical Data based Hierarchical Multi-label Diagnosis Prediction
sp0100,How Useful are Reviews for Recommendation? A Critical Review and Potential Improvements
sp0101,Dual Learning Algorithm for Delayed Conversions
sp0104,Evaluation of Cross Domain Text Summarization
sp0107,Convolutional Knowledge Tracing: Modeling Individualization in Student Learning Process
sp0108,G2T: Generating Fluent Descriptions for Knowledge Graph
sp0109,Improving Matching Models with Hierarchical Contextualized Representations for Multi-turn Response Selection
sp0112,"Visual Intents vs. Clicks, Likes, and Purchases in E-commerce"
sp0113,MVL: Multi-View Learning for News Recommendation
sp0114,Query/Task Satisfaction and Grid-based Evaluation Metrics Under Different Image Search Intents
sp0121,Learning Discriminative Joint Embeddings for Efficient Face and Voice Association
sp0123,TFNet: Multi-Semantic Feature Interaction for CTR Prediction
sp0124,Investigating reading behavior in Fine-grained Relevance Judgment
sp0126,Neural Hierarchical Factorization Machines for User's Event Sequence Analysis
sp0127,Label-Consistency based Graph Neural Networks for Semi-supervised Node Classification
sp0128,Symmetric Regularization based BERT for Pair-wise Semantic Reasoning
sp0129,Deep Interest with Hierarchical Attention Network for Click-Through Rate Prediction
sp0132,A Knowledge-Enhanced Recommendation Model with Attribute-Level Co-Attention
sp0133,Multi-source Domain Adaptation for Sentiment Classification with Granger Causal Inference
sp0135,TADS: Learning Time-Aware Scheduling Policy with Dyna-Style Planning for Spaced Repetition
sp0138,TAGNN: Target Attentive Graph Neural Networks for Session-based Recommendation
sp0139,Query Classification with Multi-objective Backoff Optimization
sp0140,Influence Function for Unbiased Recommendation
sp0142,Few-Shot Generative Conversational Query Rewriting
sp0143,User-Inspired Posterior Network for Recommendation Reason Generation
sp0144,An analysis of BERT in document ranking
sp0145,"Read, Attend, and Exclude:  Multi-Choice Reading Comprehension by Mimicking Human Reasoning Process"
sp0146,Unsupervised Text Summarization with Sentence Graph Compression
sp0147,Improving Neural Chinese Word Segmentation with Lexicon-enhanced Adaptive Attention
sp0149,Sentiment-guided Sequential Recommendation
sp0151,L2R2: Leveraging Ranking for Abductive Reasoning
sp0004,Automatic Generation of Topic Labels
sp0005,Extractive Snippet Generation for Arguments
sp0006,Proposal and comparison of health specific features for the automatic assessment of readability
sp0013,MarkedBERT: Integrating Traditional IR cues in pre-trained language models for passage retrieval
sp0016,Relevance Models for Multi-Contextual Appropriateness in Points-Of-Interest Recommendation
sp0025,CAsT-19: A Dataset for Research on Conversational Information Seeking
sp0029,Predicting Perceptual Speed from Search Behaviour
sp0030,Learning Term Discrimination
sp0031,Sampling Bias Due to Near-Duplicates in Learning to Rank
sp0032,Enhancing Recommendation Diversity using Determinantal Point Processes on Knowledge Graphs
sp0034,Relevance Transformer: Generating Concise Code Snippets with Relevance Feedback
sp0039,Unsupervised Semantic Hashing with Pairwise Reconstruction
sp0040,Factuality Checking in News Headlines with Eye Tracking
sp0042,ArTest: The First Test Collection for Arabic Web Search with Relevance Rationales
sp0043,Improving Document-Level Text Retrieval using Local Attention in the Transformer-Kernel Pooling Model
sp0049,Using Exploration to Alleviate Closed-Loop Effects in Recommender Systems
sp0071,A Heterogeneous Graph Neural Model for Cold-Start Recommendation
sp0075,Query-level Early Exit for Additive Learning-to-Rank Ensembles
sp0076,Segmenting search query logs by learning to detect search task boundaries
sp0077,A multilingual approach for unsupervised search task identification
sp0083,Sequential-based Adversarial Optimisation for Personalised Top-N Item Recommendation
sp0084,CrossBERT with Triplet Neural Architecture for Entity Property Ranking
sp0086,Active Learning Stopping Strategies for Technology-Assisted Sensitivity Review
sp0087,Topic Propagation in Conversational Search
sp0097,Reputation (In)dependence in Ranking Systems: Demographics Influence Over Output Disparities
sp0099,Do Neural Ranking Models Intensify Gender Bias?
sp0105,The Curious Case of IR Explainability: Explaining Document Scores within and across Ranking Models
sp0110,Fair Classification with Counterfactual Learning
sp0111,Multi-grouping Robust Fair Ranking
sp0115,Distilling Knowledge for fast retrieval-based chat-bots
sp0116,An Analysis of Mixed Initiative and Collaboration in Information-Seeking Dialogues
sp0118,Cascade Model-based Propensity Estimation for Counterfactual Learning to Rank
sp0119,Studying Ranking-Incentivized Web Dynamics
sp0125,How UMass-FSD Inadvertently Leverages Temporal Bias
sp0136,On the Reliability of Test Collections to Evaluating Systems of Different Types
sp0137,KLOOS: KL Divergence-based Out-of-Scope Intent Detection in Human-to-Machine Conversations
sp0153,DEXA: Supporting Non-Expert Annotators with  Dynamic Examples from Experts
Ses Order 28,Demonstration Papers I
de01,A Lightweight Environment for Learning Experimental IR Research Practices
de02,BRENDA:  Browser Extension for Fake News Detection
de03,Agent Dialogue: A Platform for Conversational Information Seeking Experimentation
de04,DataMirror: Reflecting on One's Data Self (A Tool for Social Media Users to explore their Digital Footprints)
de05,Conversational Question Answering over Passages by Leveraging Word Proximity Networks
de06,FigExplorer: A System for Retrieval and Exploration of Figures from Collections of Research Articles
de07,APS: An Active PubMed Search System for Technology Assisted Review
de08,Systematic Review Automation Tools for End-to-End Query Formulation
de09,Deep Job Understanding at LinkedIn
de10,Supporting Interoperability Between Open-Source Search Engines with the Common Index File Format
de11,Web of Scholars: A Scholar Knowledge Graph
Ses Order 29,Demonstration Papers II
de12,SPot: A tool for identifying operating segments in financial tables
de13,Receptor: A Platform for Exploring Latent Relations in Sensitive Documents
de14,FactCatch: Incremental Pay-as-You-Go Fact Checking with Minimal User Effort
de15,WIRE: An Automated Report Generation System using Topical and Temporal Summarization
de16,Experimaestro and Datamaestro:Experiment and Dataset Managers (for IR)
de17,QuAChIE: Question Answering based Chinese Information Extraction System
de18,Vis-Trec: A System for the In-depth Analysis of trec_eval Results
de19,JASSjr: The Minimalistic BM25 Search Engine for Teaching and Learning Information Retrieval
de20,ServiceGroup: A Human-Machine Cooperation Solution for Group Chat Customer Service
de21,Macaw: An Extensible Conversational Information Seeking Platform
de22,REL: An Entity Linker Standing on the Shoulders of Giants
Ses Order 30,Industry (SIRIP) Papers I
ind01,GMCM: Graph-based Micro-behavior Conversion Model for Post-click Conversion Rate Estimation
ind02,A Heterogeneous Information Network based Cross Domain Insurance Recommendation System for Cold Start Users
ind03,Knowledge Graph-based Event Embedding Framework for Financial Quantitative Investments
ind04,ATBRG: Adaptive Target-Behavior Relational Graph Network for Effective Recommendation
ind05,Be Aware of the Hot Zone: A Warning System of Hazard Area Prediction to Intervene Novel Coronavirus COVID-19 Outbreak
ind06,FashionBERT: Text and Image Matching with Adaptive Loss for Cross-modal Retrieval
ind07,Understanding Echo Chambers in E-commerce Recommender Systems
ind08,Efficient and Effective Query Auto-Completion
ind09,Efficient image gallery representations at scale through multi-task learning
ind10,A Counterfactual Framework for Seller-Side A/B Testing on Marketplaces
ind11,"Think Beyond the Word: Understanding the Implied Textual Meaning by Digesting Context, Local, and Noise"
Ses Order 31,Industry (SIRIP) Papers II
ind12,Automated Embedding Size Search in Deep Recommender Systems
ind13,Network On Network for Tabular Data Classification in Real-world Applications
ind14,Item Tagging for Information Retrieval: A Tripartite Graph Neural Network based Approach
ind15,Large Scale Abstractive Multi-Review Summarization (LSARS) via Aspect Alignment
ind16,User Behavior Retrieval for Click-Through Rate Prediction
ind17,Identifying Tasks from Mobile App Usage Patterns
ind18,Robust Layout-aware IE for Visually Rich Documents with Pre-trained Language Models
ind19,Entire Space Multi-Task Modeling via Post-Click Behavior Decomposition for Conversion Rate Prediction
ind20,How Airbnb Tells You Will Enjoy Sunset Sailing in Barcelona? Recommendation in a Two-Sided Travel Marketplace
ind21,Multiplex Behavioral Relation Learning for Recommendation via Memory Augmented Transformer Network
ind22,Towards Personalized and Semantic Retrieval:  An End-to-End Solution for E-commerce Search via Embedding Learning
Ses Order 32,Tutorials
tut01,Mining the Web for Cross-lingual Parallel Data
tut02,Recent Advances in Conversational Information Retrieval
tut03,"Conversational Recommendation: Formulation, Methods, and Evaluation"
tut04,Reciprocal Recommendation: matching users with the right users
tut05,Question Answering over Curated and Open Web Sources
tut06,Tutorial on Task-Based Search and Assistance
tut07,"Modeling User Behavior for Vertical Search: Images, Apps and Products"
tut08,"Interactive Information Retrieval: Models, Algorithms, and Evaluation"
Ses Order 33,Workshops
wp01,The SIGIR 2020 Workshop on Applied Interactive Information Systems
wp02,FinIR 2020: The First Workshop on Information Retrieval in Finance
wp03,"BIRDS - Bridging the Gap between Information Science, Information Retrieval and Data Science"
wp04,The SIGIR 2020 Workshop On eCommerce
wp05,Deep Natural Language Processing for Search and Recommendation
wp06,The 1st International Workshop on Legal Intelligence
wp07,Deep Reinforcement Learning for Information Retrieval: Fundamentals and Advances
wp08,EARS 2020: The 3rd International Workshop on ExplainAble Recommendation and Search
Ses Order 34,Doctoral Consortium
dc01,Language Agnostic Hate Speech Detection
dc02,Legal Data Analytics: Developing Assistive Tools for Legal Practitioners and the Common Man
dc03,Multi-document answer generation for non-factoid questions
dc04,Spatio-temporal conditioned language models
dc05,Explaining Recommendations in Heterogeneous Networks
dc06,Every Penny Counts: On Increasing the Intrinsic Value of Crowdsourcing
dc07,End-to-End Contextualized Document Indexing and Retrieval with Neural Networks
dc08,Incorporating User Feedback in Conversational Question Answering over Heterogeneous Web Sources
dc09,User Modeling Towards Stateful Learning to Rank
dc10,Improving the Effectiveness and Efficiency of Graph NeuralRecommender Systems
dc11,Towards Legal Case Retrieval
dc12,Biomedical Information Retrieval Incorporating Knowledge Graph for Explainable Precision Medicine
dc13,Towards Evaluating Veracity of Textual Statements on the Web
dc14,Bridging East and West: An Integration of TCM and Western Medicine in Medical Text Mining
Ses Order 35,Back Matter / Author Index
